a#adhesiu	adhesiu	a	00052672 00054667
a#adient	adient	a	00051045 01020885 01370141 00019731 00135455 00051373 00852197 01371258 01020393
a#adinerat	adinerat	a	02022167
a#adjacent	adjacent	a	00447472 00566342
a#adjunt	adjunt	a	00158864 00793250
a#administratiu	administratiu	a	02904075 02556229 02904223
a#admirable	admirable	a	01282510
a#admès	admès	a	00027833 00027599
a#adolescent	adolescent	a	01647983 02602261 01492596 01490061
a#adoptable	adoptable	a	00055765
a#adoptiu	adoptiu	a	01406418
a#adorable	adorable	a	01464433 01459422
a#adormit	adormit	a	00189017 00187736
a#adornat	adornat	a	00056002
a#adosat	adosat	a	00160425
a#adossat	adossat	a	00160957
a#adquirible	adquirible	a	00183832
a#adreçat	adreçat	a	00050641
a#adscrit	adscrit	a	01973311
a#adsorbent	adsorbent	a	00008206
a#adsorbible	adsorbible	a	00008877
a#adulador	adulador	a	02181231
a#adult	adult	a	01488616
a#adust	adust	a	01137378 01802932
a#adverbial	adverbial	a	02936235
a#advers	advers	a	01293542 00997036
a#adúlter	adúlter	a	01550779
a#aeròbic	aeròbic	a	00068738 00068566
a#afable	afable	a	01134232
a#afamat	afamat	a	01269506 02301338 00010726
a#afeblit	afeblit	a	02325097
a#afectat	afectat	a	00073048 00073465 00070939 02545385
a#afectuós	afectuós	a	01464433 01465468 01464700 01463965
a#afegible	afegible	a	00048706
a#afegit	afegit	a	00158701 00158864
a#aferent	aferent	a	00333351
a#afilat	afilat	a	01810189 01811172 01744515
a#afiliat	afiliat	a	01973311
a#afirmatiu	afirmatiu	a	00075135
a#aflictiu	aflictiu	a	01366157
a#afligidor	afligidor	a	01366157
a#afligit	afligit	a	01364817 00085870 01362598 00909363 01365239 01743217
a#afortunat	afortunat	a	01047874 02331262
a#africà	africà	a	02941790
a#afrodisíac	afrodisíac	a	02137538
a#afuat	afuat	a	01811172
a#afàsic	afàsic	a	00151530
a#afí	afí	a	01972070 02071782
a#afònic	afònic	a	00174719 00151661
a#afòtic	afòtic	a	00273901
a#agarrat	agarrat	a	01112573 01113505
a#agitat	agitat	a	00305464 00088545 00085264 00086210 00087354 01923720 02406166
a#aglomerat	aglomerat	a	00467019
a#aglutinant	aglutinant	a	00053154 00112018
a#agorafòbic	agorafòbic	a	00078705
a#agosarat	agosarat	a	00104699 02279622 00066146
a#agradable	agradable	a	00133669 00363938 00696828 01800349 01501821 01801029 01134232 00407151 00089051
a#agradós	agradós	a	01134232
a#agrari	agrari	a	02050841
a#agraït	agraït	a	01146732
a#agre	agre	a	01137378 02369460 01054922
a#agregat	agregat	a	00160425 00467240 00467019
a#agressiu	agressiu	a	01356143 00082241 00104318
a#agreujant	agreujant	a	01340422
a#agreujat	agreujat	a	00114266
a#agrupat	agrupat	a	02112108 00414919
a#agrícola	agrícola	a	02050841 02790222
a#agut	agut	a	01213197 01214430 01810189 00800826 00803275 01264913 01744515 00044760 01811820
a#aigualit	aigualit	a	00756459
a#aire-aire	aire-aire	a	00090917
a#aire-terra	aire-terra	a	00090718
a#aixecat	aixecat	a	02490170
a#ajagut	ajagut	a	01238201
a#ajogassat	ajogassat	a	02123007
a#ajudant	ajudant	a	00793250
a#ajuntat	ajuntat	a	00612383
a#ajustat	ajustat	a	00890622 01655538 01447302 02403505
a#al_dia	al_dia	a	00668208
a#alacaigut	alacaigut	a	00703615
a#alarmant	alarmant	a	00656132 00650577 00193015
a#alarmat	alarmat	a	00078851
a#alba	alba	a	00393105
a#albanès	albanès	a	02609813
a#alcalescent	alcalescent	a	00026051
a#alcalí	alcalí	a	00025728
a#alcista	alcista	a	01663916
a#alcoholitzat	alcoholitzat	a	00047243
a#alcohòlic	alcohòlic	a	00047243 01158596
a#aleatori	aleatori	a	00555859 01842198 01924316
a#alegre	alegre	a	01367651 00363938 00705336 00362467 00363291 02459465 01367431 00363621 00364145
a#alemany	alemany	a	02957469
a#alerta	alerta	a	00091764 00091311
a#alfanumèric	alfanumèric	a	02614579
a#algofòbic	algofòbic	a	00078942
a#algorítmic	algorítmic	a	00092691
a#alienable	alienable	a	00093275
a#alineat	alineat	a	00258797
a#aliè	aliè	a	00192026 01349927 01035007
a#allargat	allargat	a	01176695
a#allunyat	allunyat	a	01434717 00443274 00020103 00443075
a#alpí	alpí	a	01219279 03025746 03025590
a#alt	alt	a	01211962 01205473 01204557 02385102 02339120 01210854
a#alt_secret	alt_secret	a	00416301
a#alterable	alterable	a	00348380 00349295
a#alterat	alterat	a	00352127 02457167
a#altern	altern	a	01853934
a#alternatiu	alternatiu	a	01853934 00608668
a#alterós	alterós	a	01889819
a#altiloqüent	altiloqüent	a	00150505 01849960
a#altisonant	altisonant	a	01849960 01794771
a#altiu	altiu	a	00339288 01889819
a#altruista	altruista	a	00101609
a#alveolar	alveolar	a	02615424 02615325
a#alveolat	alveolat	a	00327690
a#al·lucinat	al·lucinat	a	00799401
a#al·lucinatori	al·lucinatori	a	01936997
a#al·lucinogen	al·lucinogen	a	01777212
a#al·lèrgic	al·lèrgic	a	02612653 02360944
a#amable	amable	a	01459422 00177834 01134232
a#amagat	amagat	a	01706465
a#amanerat	amanerat	a	00074094
a#amarg	amarg	a	02396098 01802165
a#amargat	amargat	a	00116744
a#amat	amat	a	01462324
a#amatent	amatent	a	00162661
a#ambiciós	ambiciós	a	00104051 00104318
a#ambiental	ambiental	a	02943303 02943151
a#ambigu	ambigu	a	00895442 00102201 00430756
a#amenaçador	amenaçador	a	00178126 00194357
a#americà	americà	a	02927512 02927303
a#ametista	ametista	a	00369732
a#amfibi	amfibi	a	00125319
a#amfibiòtic	amfibiòtic	a	00125553
a#amfipròstil	amfipròstil	a	00139492
a#amfòter	amfòter	a	00026515
a#amonedat	amonedat	a	02022167
a#amoníac	amoníac	a	02617641
a#amorf	amorf	a	02151837
a#amortitzable	amortitzable	a	00136589
a#amorós	amorós	a	01463965
a#amotinat	amotinat	a	02330935
a#ample	ample	a	00106277 01383394 02560548 01446991
a#ampli	ampli	a	00106277 00527870 00105746 00475996 02560548 00526062 00476249
a#ampul·lós	ampul·lós	a	01849960 01794771
a#ampulós	ampulós	a	02017372
a#amè	amè	a	01344485
a#anabàtic	anabàtic	a	00109633
a#anabòlic	anabòlic	a	00107648
a#anaeròbic	anaeròbic	a	00069060
a#anal	anal	a	00109966
a#analgèsic	analgèsic	a	01341490
a#analitzat	analitzat	a	00416765
a#analític	analític	a	00111415 00110853 00112231
a#anarquista	anarquista	a	02621348
a#ancestral	ancestral	a	01314197
a#ancià	ancià	a	01644847
a#andí	andí	a	03025853
a#anellat	anellat	a	01482020 02044860
a#anemòfil	anemòfil	a	00196664
a#anestèsic	anestèsic	a	02103052
a#anfipròtic	anfipròtic	a	00026515
a#angelical	angelical	a	01459949 02870663 01130261
a#anglès	anglès	a	03003344
a#angoixat	angoixat	a	01365103 00085870 01711614 02457167
a#angoixós	angoixós	a	01711724
a#angolès	angolès	a	03042812
a#angular	angular	a	02047807 02930616
a#angulós	angulós	a	02047807
a#anguniós	anguniós	a	01365103 01711724
a#angèlic	angèlic	a	01459949 02870663 01130261
a#animado	animado	a	01565608
a#animal	animal	a	01778572
a#animat	animat	a	00120252 01367651 00118567 00118066 02280969 00362467 00119875 00363621 00364145
a#animós	animós	a	00119875
a#annex	annex	a	00160425 01973311 00447472
a#annexat	annexat	a	00160425
a#anodí	anodí	a	00408031
a#anormal	anormal	a	01595596
a#anorèctic	anorèctic	a	00323047
a#anorèxic	anorèxic	a	00988797
a#ansiós	ansiós	a	01737241 01674134 00888477 00919919
a#antagònic	antagònic	a	01245138
a#antecedent	antecedent	a	00121865
a#antemeridià	antemeridià	a	00130412 00130518
a#anterior	anterior	a	00130778 01729819 00126235 00122128
a#antibales	antibales	a	00144102
a#antic	antic	a	00669138 01640261
a#anticipador	anticipador	a	00122245
a#anticlinal	anticlinal	a	00108263 00109016
a#anticolinèrgic	anticolinèrgic	a	00061088
a#antidemocràtic	antidemocràtic	a	00717417
a#antidrom	antidrom	a	01596674
a#antiestètic	antiestètic	a	00222543 00070583
a#antihigiènic	antihigiènic	a	02113449
a#antipatriòtic	antipatriòtic	a	01740630
a#antipàtic	antipàtic	a	01293542 00134562 01801600
a#antiquat	antiquat	a	00669138 01689580
a#antiracista	antiracista	a	00286470
a#antisèptic	antisèptic	a	02115324
a#antitètic	antitètic	a	01245138
a#antiàcid	antiàcid	a	00623814
a#antípoda	antípoda	a	02070887
a#antòfag	antòfag	a	00314265
a#anual	anual	a	00678024 01969150 01442079
a#anular	anular	a	02044860
a#anul·lat	anul·lat	a	00327541
a#anunciat	anunciat	a	00469767
a#anur	anur	a	00319851 00320985
a#anàdrom	anàdrom	a	00109261
a#anàleg	anàleg	a	02071973 01221290 02071782
a#anòmal	anòmal	a	01596455
a#anònim	anònim	a	00120784 00120574 00236652 00236483
a#anòrtic	anòrtic	a	00366185
a#apacible	apacible	a	00438332
a#apagat	apagat	a	00283703 00275290 02325984 00405179 00036998 00120132 00100213
a#apartat	apartat	a	01313649 01859055 00567860
a#apassionant	apassionant	a	01344171 00921866
a#apassionat	apassionat	a	01726235 00886253 01725712 00085630
a#apegalós	apegalós	a	00053691
a#apel·lable	apel·lable	a	00132849
a#aperiòdic	aperiòdic	a	01970464
a#apesarat	apesarat	a	01364817 01150475 01362598 00909363
a#apetitós	apetitós	a	00133669 02398378 00133417
a#aplanat	aplanat	a	02413037 01359771
a#aplicat	aplicat	a	00311354
a#apocat	apocat	a	00252826 00036998
a#apocrí	apocrí	a	00098529
a#apocàrpic	apocàrpic	a	00113476
a#apreciable	apreciable	a	00624416
a#aprensiu	aprensiu	a	00822449 00079069
a#apressant	apressant	a	00712877
a#aprofitable	aprofitable	a	02496674
a#aprofitat	aprofitat	a	00931974
a#apropiable	apropiable	a	00093433
a#apropiat	apropiat	a	00134701 01020885 01661529 01000442 00138314 01370141 01878466 00135455 00051373 00852197 01371258 01020393
a#aprovat	aprovat	a	00179035
a#aprovatori	aprovatori	a	00996089
a#aproximat	aproximat	a	00451872 00448130
a#après	après	a	01637032
a#apte	apte	a	00051045 01020885 00138314 01370141 00001740 00135455 00051373 00852197 01371258 01020393
a#apàtic	apàtic	a	00876465 00887472
a#aquàtic	aquàtic	a	00124077
a#aquós	aquós	a	02551259 00756459
a#arable	arable	a	01865807
a#arbitrable	arbitrable	a	00140233
a#arbitrari	arbitrari	a	00718924
a#arbori	arbori	a	00141818
a#arcat	arcat	a	02315461
a#ardent	ardent	a	01726235 00886253 00475308
a#ardu	ardu	a	00745858 00836544
a#arenaci	arenaci	a	00142040
a#arenós	arenós	a	00142040 02231502
a#argentat	argentat	a	00283327
a#argentí	argentí	a	02966972 00283327
a#argilenc	argilenc	a	00142270
a#argil·lós	argil·lós	a	00142270
a#argilós	argilós	a	00142270
a#aritmètic	aritmètic	a	03044869
a#armat	armat	a	00142622 00142407
a#aromàtic	aromàtic	a	01052428
a#arreglat	arreglat	a	00457036
a#arrelat	arrelat	a	01635633 01025732
a#arriscat	arriscat	a	02274537 00341655 02059381 00065791 02060496 00066565
a#arrissada	arrissada	a	01030372
a#arrissat	arrissat	a	00304455 00305464 01030372 01030022
a#arrodonit	arrodonit	a	02043898
