00001740	-0	a	+0.125
00002098	-0.75	a	+0
00002312	-0	a	+0
00002527	-0	a	+0
00002730	-0	a	+0
00002843	-0	a	+0
00002956	-0	a	+0
00003131	-0	a	+0
00003356	-0	a	+0
00003553	-0	a	+0
00003700	-0	a	+0.25
00003829	-0	a	+0.25
00003939	-0	a	+0
00004171	-0	a	+0
00004296	-0	a	+0
00004413	-0	a	+0
00004615	-0	a	+0
00004723	-0	a	+0
00004817	-0	a	+0
00004980	-0	a	+0
00005107	-0	a	+0.5
00005205	-0	a	+0.5
00005473	-0	a	+0.75
00005599	-0.5	a	+0.5
00005718	-0	a	+0.125
00005839	-0.125	a	+0.5
00006032	-0.5	a	+0.25
00006245	-0	a	+0
00006336	-0	a	+0
00006777	-0	a	+0.375
00006885	-0.75	a	+0
00007096	-0	a	+0
00007208	-0.125	a	+0
00007331	-0	a	+0
00007516	-0	a	+0
00007697	-0	a	+0
00007813	-0.5	a	+0
00007990	-0.5	a	+0
00008206	-0	a	+0
00008443	-0.25	a	+0
00008595	-0.25	a	+0
00008734	-0	a	+0.5
00008877	-0	a	+0.25
00009046	-0	a	+0
00009346	-0.625	a	+0
00009618	-0.25	a	+0.5
00009978	-0	a	+0
00010385	-0	a	+0
00010537	-0.5	a	+0
00010726	-0	a	+0
00011160	-0	a	+0
00011327	-0.125	a	+0
00011665	-0.375	a	+0.125
00011757	-0	a	+0
00012071	-0	a	+0.375
00012362	-0.25	a	+0.375
00012689	-0	a	+0
00012932	-0.125	a	+0.125
00013160	-0.25	a	+0.625
00013442	-0	a	+0
00013662	-0	a	+0
00013887	-0.25	a	+0
00014358	-0.25	a	+0
00014490	-0	a	+0.125
00014858	-0	a	+0
00015097	-0.625	a	+0.25
00015247	-0.25	a	+0
00015480	-0.5	a	+0
00015589	-0.375	a	+0.125
00015720	-0.5	a	+0.125
00015854	-0.25	a	+0
00016005	-0	a	+0
00016135	-0.25	a	+0
00016247	-0.5	a	+0.125
00016350	-0	a	+0
00016532	-0.375	a	+0
00016647	-0.5	a	+0.125
00016756	-0.25	a	+0
00017024	-0.875	a	+0
00017186	-0.625	a	+0
00017352	-0.625	a	+0
00017509	-0.75	a	+0
00017688	-0.25	a	+0.375
00017782	-0	a	+0.625
00018069	-0	a	+0.25
00018222	-0.625	a	+0.25
00018435	-0.5	a	+0
00018584	-0.375	a	+0.125
00018850	-0.375	a	+0
00019131	-0	a	+0.625
00019349	-0	a	+0.375
00019505	-0	a	+0.625
00019731	-0.125	a	+0.125
00019874	-0.125	a	+0.5
00020103	-0	a	+0.125
00020241	-0.25	a	+0.125
00020410	-0	a	+0
00020647	-0.625	a	+0
00020787	-0	a	+0.5
00021110	-0	a	+0.75
00021403	-0.25	a	+0.25
00021592	-0.25	a	+0.125
00021766	-0	a	+0.5
00022219	-0	a	+0.625
00022437	-0.25	a	+0.625
00022680	-0.125	a	+0.5
00022852	-0	a	+0.5
00022962	-0	a	+0
00023120	-0	a	+0.125
00023278	-0	a	+0.875
00023383	-0.625	a	+0.125
00023655	-0	a	+0
00023854	-0.75	a	+0.125
00024139	-0.5	a	+0
00024241	-0.625	a	+0
00024417	-0	a	+0.125
00024619	-0.375	a	+0
00024834	-0.75	a	+0
00024996	-0.125	a	+0
00025138	-0.125	a	+0
00025238	-0.125	a	+0
00025470	-0.375	a	+0
00025633	-0.5	a	+0
00025728	-0	a	+0
00026051	-0.375	a	+0.125
00026168	-0	a	+0.25
00026294	-0.125	a	+0.125
00026388	-0.125	a	+0.25
00026515	-0	a	+0.5
00026706	-0.25	a	+0
00026895	-0	a	+0
00027074	-0.25	a	+0
00027247	-0	a	+0.125
00027599	-0	a	+0.5
00027833	-0.125	a	+0
00028008	-0	a	+0.25
00028181	-0	a	+0.375
00028280	-0	a	+0
00028471	-0	a	+0.125
00028672	-0.625	a	+0
00028867	-0.375	a	+0
00028984	-0	a	+0.25
00029108	-0.375	a	+0
00029216	-0.5	a	+0
00029343	-0	a	+0
00029769	-0	a	+0.375
00029933	-0	a	+0
00030508	-0	a	+0
00030701	-0	a	+0
00030798	-0	a	+0
00031138	-0.5	a	+0.25
00031384	-0.5	a	+0
00031533	-0.5	a	+0
00031674	-0	a	+0
00031824	-0	a	+0
00031974	-0.125	a	+0.5
00032358	-0	a	+0
00032497	-0	a	+0.375
00032733	-0	a	+0
00033077	-0	a	+0.5
00033206	-0	a	+0.25
00033359	-0	a	+0.125
00033475	-0	a	+0.25
00033574	-0.5	a	+0.375
00033886	-0	a	+0.125
00034032	-0.375	a	+0.25
00034232	-0.625	a	+0
00034322	-0.125	a	+0.25
00034572	-0	a	+0.125
00034710	-0	a	+0
00034924	-0.125	a	+0
00035074	-0.375	a	+0
00035254	-0.625	a	+0
00035368	-0.625	a	+0
00035465	-0	a	+0
00035779	-0.125	a	+0.25
00035868	-0	a	+0.5
00035978	-0.25	a	+0.375
00036163	-0.5	a	+0
00036254	-0	a	+0
00036346	-0.375	a	+0.125
00036481	-0	a	+0.25
00036763	-0	a	+0
00036879	-0	a	+0.25
00036998	-0.5	a	+0
00037188	-0.625	a	+0.125
00037341	-0	a	+0
00037457	-0.5	a	+0.375
00037653	-0.25	a	+0
00037757	-0.375	a	+0
00037985	-0.125	a	+0.125
00038119	-0	a	+0
00038260	-0	a	+0
00038462	-0.25	a	+0.125
00038623	-0.625	a	+0
00038750	-0	a	+0.125
00039122	-0	a	+0
00039259	-0	a	+0
00039394	-0	a	+0
00039592	-0.25	a	+0.375
00039929	-0.625	a	+0
00040058	-0.75	a	+0
00040325	-0.5	a	+0
00040534	-0.5	a	+0.125
00040685	-0	a	+0
00040909	-0.25	a	+0
00041051	-0	a	+0
00041202	-0.625	a	+0.25
00041361	-0.5	a	+0
00041488	-0	a	+0.5
00041618	-0	a	+0
00041841	-0	a	+0
00042037	-0	a	+0
00042228	-0	a	+0
00042457	-0	a	+0.25
00042692	-0	a	+0.125
00042837	-0.5	a	+0
00042982	-0	a	+0
00043125	-0.625	a	+0
00043231	-0.625	a	+0.125
00043411	-0	a	+0.375
00043615	-0.5	a	+0
00043765	-0.5	a	+0.125
00044132	-0	a	+0.5
00044353	-0.25	a	+0
00044608	-0.625	a	+0
00044760	-0.5	a	+0
00044987	-0	a	+0
00045123	-0.375	a	+0
00045356	-0.375	a	+0
00045561	-0	a	+0.5
00045735	-0.375	a	+0.125
00045888	-0.25	a	+0.125
00046014	-0.875	a	+0
00046109	-0	a	+0.25
00046339	-0.125	a	+0.625
00046471	-0	a	+0
00046558	-0.125	a	+0.625
00046673	-0.375	a	+0.5
00046792	-0	a	+0
00046955	-0.25	a	+0.375
00047029	-0	a	+0
00047243	-0	a	+0
00047406	-0	a	+0
00047566	-0.125	a	+0
00047653	-0	a	+0.5
00047786	-0.625	a	+0
00047954	-0.5	a	+0.25
00048129	-0.375	a	+0
00048460	-0	a	+0
00048706	-0	a	+0.5
00048858	-0	a	+0
00049016	-0.125	a	+0.125
00049266	-0	a	+0
00049469	-0	a	+0
00049683	-0	a	+0
00049879	-0	a	+0
00050083	-0	a	+0.25
00050260	-0	a	+0.625
00050446	-0.625	a	+0
00050641	-0	a	+0.125
00050799	-0	a	+0
00050947	-0.125	a	+0
00051045	-0	a	+0
00051373	-0.25	a	+0.375
00051571	-0	a	+0.25
00051696	-0.5	a	+0
00052012	-0.625	a	+0
00052246	-0.25	a	+0
00052431	-0.75	a	+0
00052672	-0.5	a	+0.25
00053032	-0	a	+0
00053154	-0	a	+0
00053248	-0	a	+0.25
00053384	-0	a	+0
00053564	-0.5	a	+0
00053691	-0	a	+0
